four_hour_close_local,total_signals,win_rate_all_pct,win_rate_last_30m_pct,win_rate_last_1h_pct,win_rate_first_2h_pct
"2025-10-31 07:00:06",1,0.0,,,0.0
"2025-10-31 07:00:27",1,100.0,,,
"2025-10-31 07:00:37",1,0.0,,,0.0
"2025-10-31 07:00:51",1,0.0,,,0.0
"2025-10-31 11:00:10",1,100.0,,,
"2025-10-31 11:00:15",1,100.0,,,100.0
"2025-10-31 11:00:27",1,100.0,,,
"2025-10-31 11:00:31",2,50.0,,50.0,
"2025-10-31 11:00:48",2,0.0,,,0.0
"2025-10-31 11:00:50",1,0.0,,,0.0
"2025-10-31 11:00:51",1,0.0,,,0.0
"2025-10-31 11:00:53",1,100.0,,,100.0
"2025-10-31 15:00:17",1,0.0,,,0.0
"2025-10-31 15:00:18",3,100.0,,100.0,100.0
"2025-10-31 15:00:22",1,100.0,,,100.0
"2025-10-31 15:00:27",1,100.0,,,
"2025-10-31 15:00:30",1,0.0,,,0.0
"2025-10-31 15:00:34",1,100.0,,,100.0
"2025-10-31 15:00:40",1,100.0,,,100.0
"2025-10-31 15:00:42",1,100.0,100.0,100.0,
"2025-10-31 15:00:44",1,0.0,,,
"2025-10-31 15:00:46",1,100.0,,,100.0
"2025-10-31 19:00:00",1,100.0,,100.0,
"2025-10-31 19:00:02",2,100.0,,,100.0
"2025-10-31 19:00:04",1,0.0,,,
"2025-10-31 19:00:05",1,0.0,,,0.0
"2025-10-31 19:00:09",2,50.0,100.0,100.0,0.0
"2025-10-31 19:00:11",1,100.0,,,100.0
"2025-10-31 19:00:13",1,0.0,,0.0,
"2025-10-31 19:00:18",3,0.0,,,0.0
"2025-10-31 19:00:19",2,50.0,,100.0,0.0
"2025-10-31 19:00:28",1,100.0,100.0,100.0,
"2025-10-31 19:00:33",1,100.0,,,
"2025-10-31 19:00:34",1,100.0,,,
"2025-10-31 19:00:40",1,100.0,,,100.0
"2025-10-31 19:00:41",1,100.0,,,100.0
"2025-10-31 19:00:42",1,100.0,,100.0,
"2025-10-31 19:00:43",1,100.0,,100.0,
"2025-10-31 19:00:44",2,50.0,,100.0,0.0
"2025-10-31 19:00:45",1,0.0,,,0.0
"2025-10-31 19:00:49",1,0.0,,,
"2025-10-31 19:00:53",1,100.0,100.0,100.0,
"2025-10-31 19:00:55",1,100.0,,,
"2025-10-31 23:00:03",1,100.0,,,100.0
"2025-10-31 23:00:05",1,0.0,0.0,0.0,
"2025-10-31 23:00:07",1,0.0,,0.0,
"2025-10-31 23:00:12",1,100.0,,,100.0
"2025-10-31 23:00:14",2,100.0,,,
"2025-10-31 23:00:31",1,100.0,,,
"2025-10-31 23:00:35",1,100.0,100.0,100.0,
"2025-10-31 23:00:38",1,0.0,0.0,0.0,
"2025-10-31 23:00:42",1,0.0,,,0.0
"2025-10-31 23:00:43",1,100.0,100.0,100.0,
"2025-10-31 23:00:44",1,0.0,,0.0,
"2025-10-31 23:00:45",1,0.0,,,
"2025-10-31 23:00:48",2,100.0,100.0,100.0,
"2025-10-31 23:00:53",1,100.0,,,100.0
"2025-10-31 23:00:56",2,50.0,,0.0,
"2025-10-31 23:00:59",1,0.0,,0.0,
"2025-11-01 03:00:01",1,0.0,,,0.0
"2025-11-01 03:00:02",1,100.0,,,
"2025-11-01 03:00:12",1,0.0,,,0.0
"2025-11-01 03:00:37",2,50.0,,,50.0
"2025-11-01 03:00:57",1,100.0,,,100.0
"2025-11-01 07:00:01",1,100.0,,,100.0
"2025-11-01 07:00:13",1,0.0,,,0.0
"2025-11-01 07:00:39",1,0.0,,0.0,
"2025-11-01 07:00:46",1,0.0,,,
"2025-11-01 07:00:56",1,100.0,,,100.0
"2025-11-01 11:00:04",1,0.0,,,
"2025-11-01 11:00:05",1,0.0,,,0.0
"2025-11-01 11:00:06",2,100.0,,,100.0
"2025-11-01 11:00:10",1,100.0,,,100.0
"2025-11-01 11:00:21",1,100.0,,100.0,
"2025-11-01 11:00:56",1,0.0,,,0.0
"2025-11-01 15:00:19",1,0.0,,,
"2025-11-01 15:00:31",1,0.0,,,0.0
"2025-11-01 15:00:54",1,0.0,,0.0,
"2025-11-01 19:00:05",1,100.0,100.0,100.0,
"2025-11-01 19:00:26",1,100.0,,,
"2025-11-01 19:00:27",1,100.0,,,100.0
"2025-11-01 19:00:40",1,0.0,,0.0,
"2025-11-01 19:00:42",1,100.0,,,100.0
"2025-11-01 19:00:53",1,0.0,,,
"2025-11-01 23:00:08",1,0.0,0.0,0.0,0.0
"2025-11-01 23:00:18",1,0.0,,,0.0
"2025-11-01 23:00:30",1,100.0,,,100.0
"2025-11-01 23:00:44",1,100.0,,,100.0
"2025-11-01 23:00:48",1,0.0,,,0.0
"2025-11-02 03:00:36",1,100.0,,,100.0
"2025-11-02 03:00:48",1,0.0,,,
"2025-11-02 03:00:55",1,100.0,,,100.0
"2025-11-02 11:00:01",1,0.0,,0.0,
"2025-11-02 11:00:07",1,0.0,,,
"2025-11-02 11:00:14",1,0.0,,,
"2025-11-02 11:00:26",1,0.0,,,0.0
"2025-11-02 11:00:59",1,100.0,,100.0,
"2025-11-02 15:00:04",1,0.0,,,0.0
"2025-11-02 15:00:12",1,100.0,,,
"2025-11-02 15:00:22",1,100.0,100.0,100.0,
"2025-11-02 15:00:25",1,0.0,,,0.0
"2025-11-02 15:00:31",3,100.0,,100.0,100.0
"2025-11-02 15:00:35",1,0.0,,,0.0
"2025-11-02 15:00:53",1,0.0,,,
"2025-11-02 15:00:56",1,0.0,,,0.0
"2025-11-02 15:00:59",1,100.0,,,
"2025-11-02 19:00:00",1,0.0,,,0.0
"2025-11-02 19:00:01",1,100.0,,,100.0
"2025-11-02 19:00:07",2,50.0,100.0,100.0,
"2025-11-02 19:00:08",2,50.0,,,100.0
"2025-11-02 19:00:10",1,100.0,,,100.0
"2025-11-02 19:00:17",1,0.0,,,
"2025-11-02 19:00:25",1,100.0,,,
"2025-11-02 19:00:28",1,0.0,,,
"2025-11-02 19:00:46",1,0.0,,,0.0
"2025-11-02 19:00:56",1,100.0,,,100.0
"2025-11-02 23:00:05",1,0.0,,,0.0
"2025-11-02 23:00:08",1,100.0,,,100.0
"2025-11-02 23:00:22",1,100.0,,,
"2025-11-02 23:00:23",1,0.0,,,0.0
"2025-11-02 23:00:25",1,0.0,,0.0,
"2025-11-02 23:00:35",1,100.0,,,100.0
"2025-11-02 23:00:44",1,0.0,0.0,0.0,
"2025-11-03 03:00:34",1,0.0,,0.0,
"2025-11-03 07:00:12",1,100.0,,,
"2025-11-03 07:00:13",1,0.0,,,
"2025-11-03 07:00:18",1,0.0,0.0,0.0,
"2025-11-03 07:00:19",1,0.0,,0.0,
"2025-11-03 07:00:59",1,100.0,,,
"2025-11-03 11:00:00",1,0.0,,,0.0
"2025-11-03 11:00:01",1,100.0,,,
"2025-11-03 11:00:03",1,0.0,,0.0,
"2025-11-03 11:00:04",1,0.0,,,
"2025-11-03 11:00:06",1,0.0,,,
"2025-11-03 11:00:08",1,0.0,,,
"2025-11-03 11:00:09",1,100.0,,,
"2025-11-03 11:00:17",1,0.0,,,
"2025-11-03 11:00:18",1,100.0,,,
"2025-11-03 11:00:33",1,100.0,,,
"2025-11-03 11:00:39",1,0.0,,0.0,
"2025-11-03 11:00:40",2,50.0,,,50.0
"2025-11-03 11:00:47",1,100.0,100.0,100.0,
"2025-11-03 11:00:53",2,100.0,,,
"2025-11-03 15:00:13",1,0.0,,,
"2025-11-03 15:00:15",1,0.0,,,0.0
"2025-11-03 15:00:31",1,0.0,,,0.0
"2025-11-03 15:00:48",1,100.0,,,100.0
"2025-11-03 19:00:00",1,0.0,,0.0,
"2025-11-03 19:00:12",1,0.0,,,0.0
"2025-11-03 19:00:17",1,100.0,,100.0,
"2025-11-03 19:00:29",1,100.0,,,100.0
"2025-11-03 19:00:31",1,100.0,,,
"2025-11-03 19:00:33",1,0.0,,,0.0
"2025-11-03 19:00:45",1,100.0,100.0,100.0,
"2025-11-03 19:00:52",1,0.0,,,0.0
"2025-11-03 19:00:53",1,100.0,,,100.0
"2025-11-03 19:00:54",1,100.0,100.0,100.0,
"2025-11-03 23:00:11",1,0.0,,,0.0
"2025-11-03 23:00:41",1,0.0,,,0.0
"2025-11-03 23:00:47",1,0.0,,,0.0
"2025-11-04 03:00:08",1,100.0,100.0,100.0,
"2025-11-04 07:00:05",1,0.0,,,0.0
